,date,calls,agents
0,2022-12-02 08:00:00,22.173450469970703,5.7298903465271
1,2022-12-02 09:00:00,44.128623962402344,8.33174991607666
2,2022-12-02 10:00:00,52.055580139160156,9.201969146728516
3,2022-12-02 11:00:00,52.35825729370117,9.336063385009766
4,2022-12-02 12:00:00,53.06103515625,9.548812866210938
5,2022-12-02 13:00:00,51.838905334472656,9.452105522155762
6,2022-12-02 14:00:00,52.54623031616211,9.336113929748535
7,2022-12-02 15:00:00,55.8095817565918,9.5252685546875
8,2022-12-02 16:00:00,39.18928527832031,7.799577236175537
9,2022-12-02 17:00:00,1.2359794355274412,2.9758212566375732
10,2022-12-02 18:00:00,1.0000000000349956,1.4098377700991178
11,2022-12-02 19:00:00,1.0000000000002804,1.1581397803363958
12,2022-12-03 07:00:00,1.0,1.002116441653442
13,2022-12-03 08:00:00,1.0000000000010252,1.3390574337416676
14,2022-12-03 09:00:00,1.0040292157647794,1.5235930681228638
15,2022-12-03 10:00:00,2.971601963043213,2.4527697563171387
16,2022-12-03 11:00:00,4.260562896728516,2.7022624015808105
17,2022-12-03 12:00:00,6.378085136413574,3.087071180343628
18,2022-12-03 13:00:00,6.995722770690918,3.2187156677246094
19,2022-12-03 14:00:00,9.959799766540527,3.3864059448242188
20,2022-12-03 15:00:00,15.884408950805664,3.91302490234375
21,2022-12-03 16:00:00,2.3129570484161377,2.576460599899292
22,2022-12-03 17:00:00,1.0000000000000007,1.1637869984680247
23,2022-12-03 18:00:00,1.0,1.0055546095004846
24,2022-12-03 19:00:00,1.0,1.003626555327524
25,2022-12-05 07:00:00,4.227359294891357,2.363523006439209
26,2022-12-05 08:00:00,39.14324188232422,7.530328750610352
27,2022-12-05 09:00:00,61.28914260864258,10.181780815124512
28,2022-12-05 10:00:00,69.4942398071289,11.113689422607422
29,2022-12-05 11:00:00,70.17601013183594,11.323256492614746
30,2022-12-05 12:00:00,71.37031555175781,11.626688003540039
31,2022-12-05 13:00:00,70.761474609375,11.637016296386719
32,2022-12-05 14:00:00,72.2107925415039,11.645238876342773
33,2022-12-05 15:00:00,76.3493423461914,11.976303100585938
34,2022-12-05 16:00:00,60.73930358886719,10.410391807556152
35,2022-12-05 17:00:00,21.250621795654297,5.764115333557129
36,2022-12-05 18:00:00,1.89980792761218,2.090967893600464
37,2022-12-05 19:00:00,1.0292476527200163,1.3496898412704468
38,2022-12-06 07:00:00,1.0000001880247134,2.1395982213708624
39,2022-12-06 08:00:00,20.55524444580078,5.42878532409668
40,2022-12-06 09:00:00,44.01883316040039,8.235568046569824
41,2022-12-06 10:00:00,53.705135345458984,9.343286514282227
42,2022-12-06 11:00:00,56.002201080322266,9.74543285369873
43,2022-12-06 12:00:00,58.91558837890625,10.254383087158203
44,2022-12-06 13:00:00,60.098793029785156,10.479273796081543
45,2022-12-06 14:00:00,63.38226318359375,10.707210540771484
46,2022-12-06 15:00:00,69.36650848388672,11.25927448272705
47,2022-12-06 16:00:00,55.58393478393555,9.91188907623291
48,2022-12-06 17:00:00,17.875789642333984,5.478047847747803
49,2022-12-06 18:00:00,1.1696559622285148,2.0078177452087402
50,2022-12-06 19:00:00,1.0275055472464532,1.4567497968673706
51,2022-12-07 07:00:00,1.0000643020907785,3.2879449298285
52,2022-12-07 08:00:00,25.644268035888672,6.019938945770264
53,2022-12-07 09:00:00,48.20719909667969,8.701823234558105
54,2022-12-07 10:00:00,56.85580825805664,9.667893409729004
55,2022-12-07 11:00:00,57.99799728393555,9.914228439331055
56,2022-12-07 12:00:00,59.6609001159668,10.255999565124512
57,2022-12-07 13:00:00,59.520973205566406,10.305316925048828
58,2022-12-07 14:00:00,61.4326057434082,10.352377891540527
59,2022-12-07 15:00:00,66.02091979980469,10.721439361572266
60,2022-12-07 16:00:00,50.843223571777344,9.192130088806152
61,2022-12-07 17:00:00,11.765535354614258,4.580623626708984
62,2022-12-07 18:00:00,1.000100646369588,3.5602534889165973
63,2022-12-07 19:00:00,1.0000046920725998,2.2575022809618774
64,2022-12-08 07:00:00,1.000000000432499,1.472054920758239
65,2022-12-08 08:00:00,14.648397445678711,4.567836284637451
66,2022-12-08 09:00:00,38.286563873291016,7.396857738494873
67,2022-12-08 10:00:00,48.1563720703125,8.528895378112793
68,2022-12-08 11:00:00,50.64751434326172,8.957590103149414
69,2022-12-08 12:00:00,53.76654052734375,9.495370864868164
70,2022-12-08 13:00:00,55.16719055175781,9.75132942199707
71,2022-12-08 14:00:00,58.679344177246094,10.01241683959961
72,2022-12-08 15:00:00,64.90213012695312,10.599451065063477
73,2022-12-08 16:00:00,51.36570739746094,9.28847599029541
74,2022-12-08 17:00:00,13.908211708068848,4.8919901847839355
75,2022-12-08 18:00:00,1.0041264813056057,1.459455132484436
76,2022-12-08 19:00:00,1.0008564467691357,3.574628149676194
77,2022-12-09 07:00:00,1.0000021615657073,2.446353017511351
78,2022-12-09 08:00:00,21.77465057373047,5.498669147491455
79,2022-12-09 09:00:00,43.751914978027344,8.102774620056152
80,2022-12-09 10:00:00,51.70100402832031,8.975244522094727
81,2022-12-09 11:00:00,52.025848388671875,9.111595153808594
82,2022-12-09 12:00:00,52.75082778930664,9.326606750488281
83,2022-12-09 13:00:00,51.55094909667969,9.232165336608887
84,2022-12-09 14:00:00,52.280540466308594,9.118444442749023
85,2022-12-09 15:00:00,55.566226959228516,9.309874534606934
86,2022-12-09 16:00:00,38.96829605102539,7.5864667892456055
87,2022-12-09 17:00:00,1.1934750692264144,2.7649967670440674
88,2022-12-09 18:00:00,1.000000000029343,1.3326955718652886
